id,y80,y90,y99,education80,trust80,trust96,norm80,norm96,structure_agriculture,structure_manufacture,inv8199,inv7680,igrate8199,igrate7680,korei80,agriculture_labor80,agriculture_rate80,kajyu80,neighbor80,did,perhieiri80,X
1,3.927157778,6.109877475,7.025939056,0.102244332,-0.587865816,-0.653460488,0.036955238,-0.786268093,44.25271744,36.44842522,0.17305842,0.22057765,0.139987529,0.166230971,0.118069608,0.134559297,0.074613931,0.379727435,NA,0.656683146,0.043302,NA
2,3.114967876,5.157943162,5.832675477,0.06939461,0.08555156,-0.107486737,-0.048013016,-0.311948698,35.66039527,32.37186864,0.195268186,0.196337145,0.117927907,0.170683334,0.131499789,0.251614249,0.100714347,0.191093682,1.103877838,0.418694842,0.032693,NA
3,2.821002887,4.722833398,5.913195467,0.077821871,-0.224201774,0.403253188,0.729220061,0.662024625,36.28385171,40.08129372,0.189449892,0.214492654,0.127122335,0.172310765,0.150549126,0.282264046,0.098708044,0.248408674,1.235651153,0.27777938,0.037967,NA
4,3.793992119,6.364565312,7.277169714,0.113488345,-0.23835891,-1.038079893,0.753057698,0.227337114,46.30504657,40.56315154,0.208144829,0.222562068,0.089858951,0.130659736,0.127149159,0.157662985,0.070196766,0.145396481,1.1583371,0.487412597,0.035594,NA
5,3.25620457,5.193193716,6.263763429,0.072185516,1.395103766,0.165762416,0.83119491,0.179319522,31.37206512,37.81964883,0.190389148,0.225352272,0.141812421,0.147716953,0.153327227,0.234681677,0.115525896,0.239194904,1.186277934,0.29130094,0.042657,NA
6,3.197280074,5.301474004,6.36453443,0.076251525,0.716246785,0.996698168,0.510264717,0.604665647,38.71580704,43.75602286,0.208560395,0.24192634,0.117299114,0.129908664,0.173972847,0.227211962,0.09329699,0.227004666,1.264778297,0.372769121,0.037841,NA
7,3.399661673,6.03529658,7.159779783,0.079523371,1.242779617,0.98913965,0.383055609,0.15519694,46.79101417,47.76195002,0.210641397,0.228697132,0.091027911,0.114910736,0.156892828,0.209992163,0.068758096,0.199027943,1.361647247,0.318797684,0.038579,NA
8,3.604878228,6.111613958,7.113922197,0.075476546,1.918046598,0.475592167,0.161594348,-0.153690171,50.93064645,49.72959173,0.201098145,0.209809893,0.104862679,0.146137419,0.168187354,0.176566882,0.054148281,0.186089582,1.270967504,0.419704678,0.056181,NA
9,4.370447393,7.242232212,7.310895408,0.100810504,0.050964803,-0.38449696,0.177724955,-0.52201343,47.93210038,64.73549719,0.205397494,0.216639005,0.078826228,0.116016979,0.139679373,0.222192966,0.064904428,0.14711414,1.460563402,0.26230499,0.02888,NA
10,4.496577756,6.80935867,7.048146619,0.093682049,-0.867952212,-0.275309694,0.434583161,-0.252553214,52.52789331,68.06190034,0.200127672,0.189079122,0.062673006,0.079168539,0.140523411,0.16758822,0.051135054,0.157720033,1.407946714,0.343423533,0.048173,NA
11,3.775228276,6.522963762,7.481586951,0.096048085,-0.632297842,0.535378766,-0.056321961,0.010658985,50.71591083,58.9777464,0.201112415,0.22210858,0.064691985,0.086548319,0.150556178,0.157739278,0.057557543,0.120263751,1.368226171,0.373714812,0.039852,NA
