kreiskey1871,county1871,rbkey,lat_rad,lon_rad,kmwittenberg,zupreussen,hhsize,gpop,f_prot,f_jew,f_rw,f_miss,f_young,f_fem,f_ortsgeb,f_pruss,f_blind,f_deaf,f_dumb,f_urban,lnpop,lnkmb,poland,latlon,f_over3km,f_mine,inctaxpc,perc_secB,perc_secC,perc_secBnC,lnyteacher,rhs,yteacher,pop,kmb,uni1517,reichsstadt,hansestadt,f_cath,sh_al_in_tot,ncloisters1517_pkm2,school1517,dnpop1500
262,Oldenburg,18,94.76000214,19,293.3399963,1866,4.557927608,-0.883806109,99.78943634,0.064459294,89.25591278,0.645475924,25.10259819,51.57173157,55.13203049,98.71511078,0.126769945,0.049418792,0.28791818,24.35486984,10.74808884,5.555321217,0,18.00440025,1.648536444,0.015494267,308.8888855,18.26257515,6.078917503,24.34149361,700.9937134,0,1107.584839,46540.99609,258.6100159,0,0,0,0.092391655,0.479338855,0.00121616,0,0
263,Plon,18,94.52999878,18.1799984,294.2799988,1866,4.879047871,4.114472389,99.66334534,0.013389697,92.55012512,0.385776997,24.63321877,50.00477982,55.36449051,97.83852386,0.110943206,0.084163815,0.380649984,18.82400131,10.86435032,5.597569466,0,17.1855526,4.597397804,0.012473494,295.0548706,29.77838898,5.417654514,35.19604111,703.5411377,0,1136.162231,52279.01563,269.769928,0,0,0,0.317527115,0.542056084,0,0,0
264,Kiel,18,94.81999969,17.70000076,319.4400024,1866,4.903123856,7.290262699,98.16629028,0.303624034,97.01004028,1.181849957,22.80171585,48.461689,43.72485352,97.45135498,0.097219527,0.058331713,0.358964384,60.41520309,11.11034107,5.688601017,0,16.78314018,1.394335508,0.004931331,406.4906006,34.55630112,11.37904644,45.93535233,712.4053955,0,1241.473145,66858.99219,295.47995,0,0,0,1.38949132,0.521276593,0.002826935,1,2.83E-05
265,Rendsburg,18,94.77999878,16.87999916,334.9299927,1866,4.935754299,-2.916176796,98.73561859,0.39118892,98.07778931,0.59506011,22.13011742,47.46192932,47.35947418,98.67740631,0.100125745,0.069855168,0.314348251,30.74093056,10.66769886,5.760792732,0,15.99886227,3.865580797,0.565601528,246.6190033,20.67541885,6.568408966,27.24382782,697.9871826,0,1074.78064,42946.00391,317.6000061,0,0,0,0.803334475,0.459459454,0,0,9.56E-06
266,Norderdithmarschen,18,94.59000397,15.87000084,350.269989,1866,4.91649437,2.639465332,99.75014496,0.025266703,97.36278534,1.450148821,25.46603012,49.79225159,64.27007294,99.34307098,0.081414931,0.09264458,0.308815271,19.13812447,10.48066235,5.834693909,0,15.01143456,2.313093662,0.006721334,358.0867004,23.01384735,7.931173801,30.94502068,704.4580078,0,1146.627197,35619.99219,341.9600525,0,0,0,0.202133626,0.625,0,0,0
267,Suderdithmarschen,18,94.41000366,15.84000015,342.9400024,1866,4.86109066,0.238065094,99.88883209,0.045478664,97.29449463,0.638582766,26.40794182,50.33730316,56.07266235,99.64374542,0.083377548,0.035372291,0.300664514,8.16594696,10.58605385,5.820765018,0,14.95454502,0.817771256,0.082309365,369.1348877,20.74783897,6.249632835,26.99747086,687.7001953,0,969.7147217,39578.99609,337.22995,0,0,0,0.063164815,0.594339609,0,0,0
268,Steinburg,18,93.73999786,18.15999985,253.4199982,1866,4.510009766,-0.394470841,99.40925598,0.099008262,97.08885193,1.035958886,22.90556335,49.62624359,49.46453094,99.10727692,0.094057851,0.037953172,0.33002758,33.09516525,11.01206684,5.483177185,0,17.02318382,3.112090349,0.046705469,343.1352234,25.95746231,8.920743942,34.87820435,706.5506592,0,1170.875,60601.01172,240.6099548,0,0,0,0.44553721,0.555555582,0.001210742,0,0
269,Segeberg,18,94.13999939,18,277.3699951,1866,4.818534374,-1.026771069,99.60208893,0.25343439,93.72820282,0.793625593,25.38844109,50.19184875,52.67882538,98.60729218,0.068687826,0.094741829,0.307910949,15.54950237,10.65064907,5.55979681,0,16.94520187,2.804908514,0.024008162,221.2588959,18.36024284,4.243443012,22.60368538,699.0609131,0,1086.383057,42219.98828,259.77005,0,0,0,0.068687826,0.504000008,0,0,0
270,Stormarn,18,93.91999817,18.1099987,263.5100098,1866,4.583260059,0.406223387,98.78466034,0.455752075,90.38531494,1.091592431,24.26200294,50.06875992,46.15888977,96.33479309,0.079956502,0.041577384,0.347011238,24.80570602,11.04346561,5.514597416,0,17.00891113,2.32057786,0.087604031,278.3197632,29.45516968,8.662691116,38.1178627,706.5078125,0,1170.373413,62533.99609,248.2899933,0,0,0,0.609268546,0.430463582,0,0,0
271,Pinneberg,18,93.66000366,17.10000038,275.4899902,1866,4.508694172,2.403747559,99.23369598,0.260442764,95.94810486,0.718980193,24.3013134,49.95492554,55.35911179,98.60262299,0.101839796,0.070119202,0.375638574,26.61691475,11.00039864,5.608775616,0,16.0158596,0.975197732,0.199177176,290.0962219,30.50349426,10.89270592,41.39620209,704.0298462,0,1141.728271,59898.01563,272.8099976,0,0,0,0.307188869,0.573170722,0,0,0
